AccountID,Industry,Vertical,TotalBRR,AnnualRevenue,NumberOfEmployees,DandBRevenue,DandBTotalEmployees
Acct-000142,IT Infrastructure,Cloud Service Provider,508059,796245654,6500,725572510,6000
Acct-000070,Media & Content,Media,504108,91596133,865,90680172,865
Acct-000132,Telecommunications,National Carrier/ISP,487472,86033309924,241600,1.06E+13,241593
Acct-000224,Telecommunications,Regional Carrier/ISP,468014,0,0,0,0
Acct-000435,Telecommunications,Regional Carrier/ISP,420878,328820055,1100,328820055,1100
Acct-000811,Media & Content,Internet Content & Software,417840,11493652000,9199,16529616000,12691
Acct-000266,IT Infrastructure,Colo/Hosting,406450,0,0,0,0
Acct-001800,Media & Content,Internet Content & Software,404033,17241400,100,17241400,100
Acct-000049,Telecommunications,PTT,391488,111141054,431,90068329,457
Acct-000201,Other Industry,Retail,387865,4.48E+11,2200000,4.45E+11,2200000
Acct-001198,Media & Content,Cable & Satellite,387528,19642690412,60000,31122013042,60000
Acct-000176,IT Infrastructure,Cloud Service Provider,384059,142093359,555,90760334,555
Acct-000173,IT Infrastructure,Colo/Hosting,376472,144702664,340,143255638,340
Acct-000060,IT Infrastructure,Colo/Hosting,369444,293466146,650,293466146,650
Acct-001546,Finance,Finance - Other,356020,87065382000,43000,56014201541,264000
Acct-000055,Telecommunications,National Carrier/ISP,338015,570824803,1411,614828638,1411
Acct-001153,Media & Content,Cable & Satellite,327904,751256664,2022,744299252,1972
Acct-000480,Finance,Finance - Other,326673,63371712,500,39848127,500
Acct-000801,IT Infrastructure,Cloud Service Provider,323653,0,0,0,0
Acct-001398,Finance,Finance - Other,320582,6439855769,12000,5605997487,12000
Acct-000122,Telecommunications,National Carrier/ISP,314529,0,0,0,0
Acct-000198,Finance,Finance - Other,310478,0,5,0,5
Acct-000401,Telecommunications,National Carrier/ISP,307924,490248052,1086,296612932,1086
Acct-000017,Telecommunications,PTT,291264,4492145449,9000,3984511660,14000
Acct-000085,Government,Systems Integrators - Government,291202,4686526000,14000,6884574000,21000
Acct-000544,Finance,Finance - Other,289600,31872121226,78000,36793180856,80000
Acct-000487,Media & Content,AdTech,270546,645184297,1450,709702727,1450
Acct-001260,Other Industry,Retail,267706,0,0,0,0
Acct-000001,Telecommunications,National Carrier/ISP,266547,0,1000,70807006,1000
Acct-001401,Telecommunications,National Carrier/ISP,263763,0,0,0,0
Acct-001904,Telecommunications,Wireless,261565,101420,2,101420,2
Acct-000062,IT Infrastructure,Colo/Hosting,255295,1625795792,1295,1625795792,1295
Acct-000328,Media & Content,Internet Content & Software,252507,0,0,0,0
Acct-000174,Telecommunications,PTT,249699,225461875,152,89942944,152
Acct-000967,Finance,Finance - Other,247659,839020,9,839020,9
Acct-000033,Media & Content,Gaming/eSports,247411,310813687,902,605687947,902
Acct-000577,Telecommunications,Reseller,244486,337973854,80,337973854,80
Acct-000800,Media & Content,Internet Content & Software,243515,931327874,1061,976735452,1019
Acct-001054,Media & Content,Internet Content & Software,242286,78665040000,114000,78665040000,114000
Acct-000106,IT Infrastructure,Colo/Hosting,241918,2253161472,3866,2513249374,5042
Acct-000093,Telecommunications,Reseller,230445,119634514,250,142543373,250
Acct-000607,Telecommunications,Regional Carrier/ISP,229498,0,777,262702305,817
Acct-000949,IT Infrastructure,Cloud Service Provider,227329,43464924000,74042,45405734000,73700
Acct-000175,Telecommunications,Regional Carrier/ISP,226920,640066718,1500,640066718,1500
Acct-000664,Finance,Finance - Other,226798,92289231,727,0,727
Acct-001633,Media & Content,Internet Content & Software,212250,35945655,425,38186398,425
Acct-000252,Telecommunications,National Carrier/ISP,207678,7936862,23,7032065,23
Acct-000278,IT Infrastructure,Cloud Service Provider,206714,4954446292,13300,6147173152,19000
Acct-000304,Media & Content,Internet Content & Software,205293,35244372000,132000,34157334000,136000
Acct-000296,Telecommunications,Regional Carrier/ISP,201354,4772494202,10400,4772494202,10400
Acct-000730,Finance,Finance - Other,199662,81478984000,264500,83010426000,264700
Acct-000068,Telecommunications,PTT,197152,8759000,79,31893064,79
Acct-000586,Telecommunications,National Carrier/ISP,196977,79938513,200,84791746,200
Acct-001125,Professional Services,Commercial Systems Integrator,195361,28740079358,111300,52498680000,101800
Acct-000341,Telecommunications,Reseller,186315,0,0,0,0
Acct-000900,Telecommunications,RLEC,186300,185742432,579,188336018,593
Acct-000470,Telecommunications,National Carrier/ISP,180941,2045543668,9700,2102398798,10630
Acct-000102,IT Infrastructure,Colo/Hosting,176954,305089800,580,368154600,580
Acct-000963,Telecommunications,Wireless,175454,3685098466,6400,3685098466,6400
Acct-000420,Research & Education,K-12 Education,174728,29426501,60,30061773,60
Acct-000161,Media & Content,Cable & Satellite,173323,6001983046,14177,6001983046,14177
Acct-001154,Finance,Finance - Other,171910,51594949,800,59561200,800
Acct-000317,Telecommunications,National Carrier/ISP,169255,32109498,90,28609563,90
Acct-000621,Energy & Manufacturing,Manufacturing - Other,164688,0,0,0,0
Acct-000469,Media & Content,Internet Content & Software,162707,0,0,10706632,48
Acct-000364,Media & Content,Internet Content & Software,162567,1144922082,41000,1186388110,44000
Acct-000657,IT Infrastructure,Cloud Service Provider,156091,60691036,168,57052972,153
Acct-001322,Finance,Finance - Other,150144,4477693000,16200,4477693000,16200
Acct-001363,Healthcare,Hospital/Clinic,149449,1051303439,16000,1051303439,16000
Acct-000141,IT Infrastructure,Cloud Service Provider,149155,927052560,3686,927052560,3686
Acct-002395,Finance,Banking,147066,0,0,0,0
Acct-001426,Media & Content,Internet Content & Software,146755,33333888,501,33333888,501
Acct-000488,Telecommunications,National Carrier/ISP,145210,271326588,90237,8931748286,180639
Acct-000118,Telecommunications,Regional Carrier/ISP,143377,0,0,0,0
Acct-000326,Telecommunications,PTT,141649,12314761,29,12314761,29
Acct-000439,Media & Content,Cable & Satellite,141045,74892917,340,83441000,340
Acct-002181,Media & Content,Internet Content & Software,140637,6151876274,18730,6151876274,18730
Acct-000156,Telecommunications,Reseller,139823,31874722,73,32841454,73
Acct-001058,IT Infrastructure,Colo/Hosting,139713,0,215,0,215
Acct-000968,Telecommunications,PTT,139547,8265283752,36400,9541444630,36400
Acct-001205,Other Industry,Retail,139216,0,0,0,0
Acct-000314,Media & Content,Media,138723,70846,1000,1099470,1000
Acct-000231,Telecommunications,Regional Carrier/ISP,138322,19182775,50,27660000,80
Acct-000329,Media & Content,Internet Content & Software,135524,1293567844,3638,2045025504,3898
Acct-000320,Finance,Finance - Other,130709,58538702000,5462,58538702000,5462
Acct-000857,Professional Services,Commercial Systems Integrator,129084,85555146000,379592,75365202000,377757
Acct-000871,Telecommunications,Reseller,124984,301444212,708,315771170,730
Acct-000856,Media & Content,Cable & Satellite,123768,1192514800,4408,0,0
Acct-000042,Telecommunications,Regional Carrier/ISP,123450,24433000,175,71002288,175
Acct-001138,Telecommunications,Regional Carrier/ISP,122250,685946,13,685946,13
Acct-001128,Healthcare,Healthcare,121100,0,0,0,0
Acct-000301,Telecommunications,National Carrier/ISP,120805,2621631396,2355,20306977715,2355
Acct-000551,Telecommunications,Regional Carrier/ISP,119147,0,0,0,0
Acct-000346,Telecommunications,Reseller,118933,0,5,0,5
Acct-000398,Media & Content,Internet Content & Software,118909,949888586,895,854899728,895
Acct-000357,Telecommunications,Regional Carrier/ISP,115243,0,0,0,0
Acct-001519,IT Infrastructure,Colo/Hosting,115032,25460087,86,28006096,92
Acct-000107,Telecommunications,National Carrier/ISP,113995,2240978792,16200,2240978792,16200
Acct-001779,Media & Content,AdTech,113130,0,0,0,0
Acct-001040,Telecommunications,Regional Carrier/ISP,112237,22247908,40,20865037,40
Acct-001013,Finance,Finance - Other,112066,719480153,1000,731461275,1000
Acct-000511,Healthcare,Hospital/Clinic,111964,18249772,170,18249772,170
Acct-000415,Telecommunications,National Carrier/ISP,111746,154782881,716,215576878,716
Acct-001416,Telecommunications,National Carrier/ISP,111096,0,0,0,0
Acct-000043,IT Infrastructure,Colo/Hosting,109515,180692123,790,180127247,790
Acct-001913,Telecommunications,National Carrier/ISP,109404,0,0,0,0
Acct-000230,Telecommunications,Wireless,109289,87716488,206,71306170,206
Acct-003309,Telecommunications,Regional Carrier/ISP,109064,197259896,650,216985886,650
Acct-001068,Government,State/Local Government,108744,0,5698,0,5698
Acct-001357,Finance,Finance - Other,108644,2042949203,5000,2499281529,5000
Acct-000553,Healthcare,Healthcare - Other,107992,482859698,1908,530250324,1908
Acct-003068,Energy & Manufacturing,Manufacturing - Other,107442,7770616000,12550,6993554400,12550
Acct-003209,IT Infrastructure,Colo/Hosting,106507,175180,3,2722544,23
Acct-001866,Healthcare,Healthcare - Other,106000,164409363,200,164432100,200
Acct-000989,Telecommunications,National Carrier/ISP,104910,0,0,0,0
Acct-000733,IT Infrastructure,Cloud Service Provider,104263,466231069,3300,372543421,3300
Acct-000589,Telecommunications,National Carrier/ISP,104095,0,16613,0,16613
Acct-001117,Telecommunications,National Carrier/ISP,101855,33673135,177,33673135,177
Acct-002169,IT Infrastructure,Cloud Service Provider,101695,755880,10,839020,10
Acct-002271,Finance,Finance - Other,101582,2212800,15,9375449,15
Acct-000110,Finance,Asset Management / Hedge Fund,101435,351516214,612,351516214,612
Acct-001122,Media & Content,Cable & Satellite,100245,0,0,0,0
Acct-000126,Telecommunications,Reseller,98919,2858200,30,2858200,30
Acct-000651,Media & Content,Gaming/eSports,98654,4064176000,6800,4300208000,7300
Acct-000246,IT Infrastructure,Cloud Service Provider,98448,1654397154,5651,1845198600,6189
Acct-003399,Finance,Finance - Other,98339,420321299,1460,420321299,1460
Acct-000264,IT Infrastructure,Colo/Hosting,97841,34719074,40,61506957,126
Acct-001029,Media & Content,Internet Content & Software,96505,51512140000,106700,51037310000,107300
Acct-001009,Media & Content,Media,96243,4898586000,20400,4898586000,20400
Acct-000831,Media & Content,Internet Content & Software,95625,2330078400,4350,2330078400,4350
Acct-000377,Media & Content,Internet Content & Software,94478,8715494,35,9881088,76
Acct-000139,IT Infrastructure,Cloud Service Provider,93000,0,0,0,0
Acct-001720,Telecommunications,Reseller,92806,0,0,0,0
Acct-000319,IT Infrastructure,Cloud Service Provider,91782,1012123,4,1012123,4
Acct-000433,Telecommunications,National Carrier/ISP,90972,0,0,0,0
Acct-000786,Healthcare,Medical Devices,90055,2141713800,9100,2299191400,9800
Acct-001736,IT Infrastructure,Colo/Hosting,89823,0,0,0,0
Acct-001478,Media & Content,Media,88927,1543503604,5575,1634537274,5341
Acct-000916,Media & Content,Internet Content & Software,88506,5075292832,2450,6250709142,3700
Acct-000183,Finance,Finance - Other,88182,167816347,350,167816347,350
Acct-002055,Government,Federal Government,87243,0,32,0,32
Acct-000407,IT Infrastructure,Cloud Service Provider,86985,101604400,849,115703334,849
Acct-000057,Telecommunications,National Carrier/ISP,86526,460313912,1289,515223393,1289
Acct-000823,Professional Services,Consulting / Other Professional Services,85814,0,0,0,0
Acct-000096,Telecommunications,Wireless,85213,0,0,0,0
Acct-000114,Telecommunications,Regional Carrier/ISP,84631,15742363,35,15836394,35
Acct-000447,Telecommunications,Regional Carrier/ISP,84430,16125367,100,16125367,100
Acct-000536,Professional Services,Commercial Systems Integrator,84316,32083443442,384000,32083443442,384000
Acct-001304,Professional Services,Engineering,83753,6217380091,29000,6217380091,29000
Acct-000458,Government,Systems Integrators - Government,82864,2592573581,24500,2592573581,24500
Acct-000200,IT Infrastructure,Colo/Hosting,82809,23605379,100,23605379,100
Acct-003608,Professional Services,Consulting / Other Professional Services,82665,147520,2,154824,2
Acct-002541,Media & Content,Media,82501,642283599,590,733213124,190
Acct-001162,Media & Content,AdTech,81682,198193031,564,171322210,564
Acct-000507,Telecommunications,PTT,81290,32304234,82,234460472,131
Acct-001215,Professional Services,Consulting / Other Professional Services,80599,0,0,0,0
Acct-001903,IT Infrastructure,Cloud Service Provider,80139,3319200000,11000,3319200000,11000
Acct-002265,Professional Services,Legal,78432,0,0,0,0
Acct-001487,Telecommunications,National Carrier/ISP,78186,0,0,0,0
Acct-000131,Media & Content,Internet Content & Software,77573,2412441868,8275,3757866663,8275
Acct-001509,Media & Content,Media,77381,244342027,1795,244342027,1795
Acct-001654,Telecommunications,Wireless,75799,305662437,45,171973284,45
Acct-000338,IT Infrastructure,Colo/Hosting,75542,0,0,0,0
Acct-001493,Finance,Finance - Other,75100,459617000,15800,8526656000,16800
Acct-000208,Media & Content,Media,74411,12668518,5,9834196,5
Acct-001022,Telecommunications,National Carrier/ISP,73859,72662558,164,87921696,164
Acct-000486,Energy & Manufacturing,Manufacturing - Other,73672,0,0,0,0
Acct-000737,Professional Services,Legal,73332,161165126,1400,177281639,1400
Acct-000643,Telecommunications,National Carrier/ISP,73046,308537636,1111,377724782,1111
Acct-000422,Telecommunications,Regional Carrier/ISP,73023,4980546,19,4919062,19
Acct-001218,IT Infrastructure,Colo/Hosting,73015,0,0,0,0
Acct-000557,Professional Services,Consulting / Other Professional Services,72858,10237176078,85865,8077703735,91322
Acct-001076,IT Infrastructure,Cloud Service Provider,72370,5645129400,12810,5113412000,12030
Acct-001954,Media & Content,Internet Content & Software,72260,434943,3,467256,3
Acct-001178,Professional Services,Legal,71759,308264568,1650,308264568,1650
Acct-000939,Media & Content,Internet Content & Software,71454,4580773522,11260,4580773522,11260
Acct-000598,Professional Services,Legal,70945,13830000,70,13830000,70
Acct-000933,Media & Content,Internet Content & Software,70927,16505644000,36500,7921824000,11600
Acct-001030,Telecommunications,National Carrier/ISP,70209,0,0,0,0
Acct-003329,Other Industry,Retail,70071,1.09E+11,218000,1.09E+11,218000
Acct-000243,Telecommunications,RLEC,69240,1178500400,3100,1076711600,3250
Acct-000535,Finance,Finance - Other,68941,88051000,1500,284486604,1500
Acct-000909,Media & Content,Internet Content & Software,68867,125039436,505,137332810,505
Acct-000917,Professional Services,Legal,68863,586576400,8000,979234413,8000
Acct-001421,Government,Systems Integrators - Government,68074,42043200000,120735,42533704000,126000
Acct-000355,Media & Content,Cable & Satellite,67887,3176822916,4400,2898504308,4400
Acct-000403,Telecommunications,Regional Carrier/ISP,67868,23838363,156,19429693,156
Acct-000870,Finance,Finance - Other,67829,0,0,0,0
Acct-000354,Media & Content,Media,67652,243314616,1250,267646078,1250
Acct-001400,Media & Content,Media,67443,25224998000,34000,25924796000,24800
Acct-000015,Telecommunications,Regional Carrier/ISP,66981,125362799,310,124109172,310
Acct-003131,Energy & Manufacturing,Utilities,66433,4951140000,8860,4951140000,8860
Acct-001701,Professional Services,Legal,66217,129154258,843,165868890,843
Acct-000194,Healthcare,Healthcare - Other,65917,11447552000,221700,11447552000,221700
Acct-002422,Finance,Finance - Other,65910,0,0,0,0
Acct-000383,Finance,Finance - Other,65789,1140219882,5000,1140219882,5000
Acct-001015,Telecommunications,National Carrier/ISP,65742,8601391,60,9127800,60
Acct-000119,IT Infrastructure,Colo/Hosting,65060,17794600,400,160469890,400
Acct-002396,IT Infrastructure,Colo/Hosting,64781,954901,1,700477,1
Acct-000881,Telecommunications,National Carrier/ISP,64212,9812942,45,11367502,45
Acct-001207,Media & Content,Internet Content & Software,64197,3823593930,12524,4421461142,13893
Acct-000750,Media & Content,Internet Content & Software,63816,4702200,32,18339699,32
Acct-000995,Media & Content,Internet Content & Software,62666,232661392,1926,55071982,1926
Acct-002263,Healthcare,Pharmaceuticals / BioTech,62049,45735810000,78300,45040622000,97900
Acct-000584,Telecommunications,National Carrier/ISP,62025,801174666,1459,825256384,1752
Acct-000459,Media & Content,Media,60953,19182582,95,21100840,95
Acct-001629,Other Industry,Hospitality,60914,1898919262,30000,1834162957,30000
Acct-000334,Telecommunications,Regional Carrier/ISP,60863,3042600,32,5429853,32
Acct-000148,Telecommunications,Regional Carrier/ISP,60135,5255400,45,17323151,45
Acct-001721,Telecommunications,Regional Carrier/ISP,60035,156740,2,156740,2
Acct-000305,Media & Content,Internet Content & Software,59893,374835,10,376175,11
Acct-001626,Media & Content,Media,59841,137463019,1290,137463019,1290
Acct-000370,Telecommunications,Regional Carrier/ISP,59374,9845795,48,9845795,48
Acct-000825,Media & Content,Cable & Satellite,59131,0,0,0,0
Acct-000170,Telecommunications,Regional Carrier/ISP,58306,32915018,50,23050000,80
Acct-000904,Other Industry,Real Estate / Construction,58289,0,0,0,0
Acct-003622,Media & Content,Gaming/eSports,58137,4162830000,8400,4053112000,8500
Acct-001950,IT Infrastructure,Colo/Hosting,57981,7714182,63,7945503,63
Acct-001490,Finance,Finance - Other,57848,830445400,3400,830445400,3400
Acct-000754,Media & Content,Media,57804,4213593476,2323,4213593476,2323
Acct-000564,Research & Education,Higher Education,57580,4069133594,22000,4069133594,22000
Acct-000293,Media & Content,Internet Content & Software,57524,8789392,25,8789392,25
Acct-000891,Other Industry,Retail,57517,1301409454,3000,1301409454,3000
Acct-003525,Research & Education,Higher Education,57271,623014684,1870,599885554,1934
Acct-002228,IT Infrastructure,Colo/Hosting,57119,0,0,0,0
Acct-000661,Professional Services,Consulting / Other Professional Services,57073,258670217,1416,339454194,1400
Acct-000742,Telecommunications,Regional Carrier/ISP,56820,0,14,0,0
Acct-001155,Healthcare,Hospital/Clinic,56494,1048823978,7593,1048823978,7593
Acct-001161,Telecommunications,Regional Carrier/ISP,56266,46007800,884,525042280,884
Acct-000820,Healthcare,Hospital/Clinic,55924,0,0,0,0
Acct-001166,Media & Content,Media,55637,83462419,1400,112575278,1400
Acct-000700,Telecommunications,Wireless,55526,23418800,500,197494102,500
Acct-001425,Telecommunications,Regional Carrier/ISP,55333,221280,3,123107935,280
Acct-002402,Professional Services,Legal,54938,0,0,0,0
Acct-000211,Other Industry,Hospitality,54652,0,0,0,0
Acct-000321,Telecommunications,RLEC,54544,2858200,25,8165933,25
Acct-000519,Media & Content,Media,54071,51292704000,195000,51292704000,195000
Acct-000775,Energy & Manufacturing,Oil & Gas,54018,1.28E+11,61500,1.28E+11,61500
Acct-001612,Professional Services,Consulting / Other Professional Services,53856,40570644,420,28367174,420
Acct-001352,Finance,High Frequency Trading,53739,199266295,460,177007882,460
Acct-000513,Media & Content,Internet Content & Software,53570,0,0,0,0
Acct-001923,Professional Services,Consulting / Other Professional Services,53304,1640375378,4634,1640375378,4634
Acct-000362,Telecommunications,Reseller,53299,461000,8,461000,8
Acct-000221,Telecommunications,National Carrier/ISP,53262,202840,4,454193,4
Acct-002262,Media & Content,Media,53237,12729132000,17310,12802892000,16260
Acct-000591,Telecommunications,PTT,52856,1593919173,387,1483938551,387
Acct-000516,Media & Content,Cable & Satellite,52373,0,0,0,0
Acct-000128,Professional Services,Consulting / Other Professional Services,52153,0,0,0,0
Acct-001454,IT Infrastructure,Colo/Hosting,52129,0,0,0,0
Acct-001718,Research & Education,Higher Education,51868,0,0,0,0
Acct-001291,Other Industry,Retail,50867,0,0,0,0
Acct-000067,Telecommunications,Regional Carrier/ISP,50816,0,0,0,0
Acct-002175,Media & Content,Internet Content & Software,50782,885120,10,10742667,70
Acct-002551,Professional Services,Engineering,50428,0,0,0,0
Acct-001196,Professional Services,Consulting / Other Professional Services,50168,0,0,0,0
Acct-001458,Telecommunications,Regional Carrier/ISP,49938,29631477,60,35854087,60
Acct-001722,Telecommunications,National Carrier/ISP,49552,450676169,171,272266600,171
Acct-000783,Telecommunications,Reseller,49309,3042600,26,12163465,26
Acct-002418,Finance,Asset Management / Hedge Fund,49301,3872400000,5100,0,0
Acct-001543,Finance,Finance - Other,49180,0,78,0,0
Acct-001194,Energy & Manufacturing,Manufacturing - Other,48731,0,0,0,0
Acct-000394,Media & Content,AdTech,48698,63330310,272,46843616,277
Acct-000723,Transportation & Logistics,Airlines,48682,17153810000,46278,18274040000,49583
Acct-002070,Healthcare,Healthcare - Other,48578,0,0,0,0
Acct-000275,IT Infrastructure,Colo/Hosting,48541,0,0,0,0
Acct-001224,Finance,Finance - Other,48525,0,0,0,0
Acct-001420,Media & Content,Cable & Satellite,48520,903560,10,573416,10
Acct-001177,Healthcare,Hospital/Clinic,48382,0,0,0,0
Acct-001332,IT Infrastructure,Cloud Service Provider,48369,261464427,575,312946345,575
Acct-003360,Other Industry,Telecommunications Equipment Provider,48231,903824798,2555,1004249776,2555
Acct-003169,Finance,Finance - Other,48082,60935325,102,60935325,102
Acct-000689,Telecommunications,Reseller,48069,0,8,0,8
Acct-003570,Professional Services,Legal,47646,417696407,2500,417696407,2500
Acct-001027,Finance,Finance - Other,47642,12537268,19,12537268,19
Acct-001116,Other Industry,Retail,47610,15056259999,30200,0,0
Acct-000819,Finance,Finance - Other,47494,131776442,285,116939500,285
Acct-000985,Telecommunications,Reseller,47303,154911186,518,207789618,518
Acct-002451,Energy & Manufacturing,Oil & Gas,47106,1249285748,6000,1775967829,6000
Acct-002277,Media & Content,Internet Content & Software,46993,13184706,92,13184706,92
Acct-000615,Telecommunications,PTT,46985,50138029,150,52744375,150
Acct-000481,Telecommunications,RLEC,46316,0,0,0,0
Acct-000419,Other Industry,Non-Healthcare Insurance,46008,25577808575,64066,53777494000,66400
Acct-000318,Finance,Asset Management / Hedge Fund,45887,1318431418,563,1022235230,833
Acct-000735,Energy & Manufacturing,Oil & Gas,45777,3.80E+11,75300,2.48E+11,73500
Acct-002072,Finance,Finance - Other,45511,0,0,0,0
Acct-000903,Professional Services,Legal,45437,324022565,1500,324022565,1500
Acct-003144,Healthcare,Hospital/Clinic,44625,0,0,0,0
Acct-000129,Telecommunications,Regional Carrier/ISP,44165,0,0,0,0
Acct-000117,Telecommunications,Regional Carrier/ISP,43996,51685628,69,46729450,69
Acct-001481,Media & Content,Internet Content & Software,43826,101780502,534,167166898,936
Acct-000632,IT Infrastructure,Cloud Service Provider,43779,3020097668,9500,3020097668,9500
Acct-001538,IT Infrastructure,Cloud Service Provider,43520,34667200,275,90760334,600
Acct-001314,Other Industry,Non-Healthcare Insurance,43495,0,0,0,0
Acct-000956,IT Infrastructure,Colo/Hosting,43429,149463920,350,183513161,350
Acct-001488,Professional Services,Consulting / Other Professional Services,43282,9982540745,85000,9982540745,85000
Acct-001643,Other Industry,Retail,43210,0,0,0,0
Acct-000599,Media & Content,Internet Content & Software,42957,2262487799,2337,2262487799,2337
Acct-001266,Professional Services,Consulting / Other Professional Services,42956,0,0,0,0
Acct-001263,Media & Content,AdTech,42611,888428136,1576,968061276,2125
Acct-002375,Energy & Manufacturing,Manufacturing - Other,42428,0,0,0,0
Acct-000297,Government,Systems Integrators - Government,42178,3452016866,19900,3452016866,19900
Acct-000805,Energy & Manufacturing,Utilities,42133,13875178000,15557,13853972000,15781
Acct-000217,Other Industry,Retail,41518,745042045,3600,683678349,3600
Acct-001230,Research & Education,Higher Education,41217,0,0,0,0
Acct-000560,Healthcare,Healthcare - Other,41209,86753732,1000,76671070,1000
Acct-000101,Media & Content,Media,41174,2812971290,12800,2812971290,12800
Acct-000280,Media & Content,Media,40694,11828525,43,14312515,125
Acct-000745,Other Industry,Transportation,40357,53689904000,437000,53810686000,444000
Acct-001702,IT Infrastructure,Colo/Hosting,40256,15364097,15,11438728,16
Acct-001137,Media & Content,Cable & Satellite,40240,1442600,3,1258312,3
Acct-001172,Research & Education,Higher Education,40082,305540,2658,296744,2658
Acct-000209,Telecommunications,Regional Carrier/ISP,40009,6759554,37,8864162,37
Acct-001731,IT Infrastructure,Colo/Hosting,39983,267380,3,590574,3
Acct-002494,Professional Services,Legal,39897,0,0,0,0
Acct-000846,Government,Federal Research,39457,0,1225,0,1225
Acct-002486,Media & Content,Media,39441,1629852,18,1629852,18
Acct-002046,Finance,Finance - Other,39205,12108561,53,14347799,53
Acct-000082,Telecommunications,Regional Carrier/ISP,39126,24633199,57,24633199,57
Acct-000461,Telecommunications,Wireless,38966,0,0,0,0
Acct-000790,Telecommunications,Reseller,38475,0,0,0,0
Acct-001917,Media & Content,Internet Content & Software,37886,0,0,0,0
Acct-001131,Professional Services,Legal,37824,0,850,173635006,850
Acct-000706,Other Industry,Retail,37347,13310914000,72500,13310914000,72500
Acct-003548,Telecommunications,Wireless,37047,0,0,0,0
Acct-000348,Finance,Finance - Other,37041,2305000,25,19085400,25
Acct-000565,Media & Content,Internet Content & Software,37005,0,2,0,2
Acct-000291,Finance,Finance - Other,36879,169013293,360,169013293,360
Acct-000010,Media & Content,Cable & Satellite,36652,0,0,0,0
Acct-001542,Other Industry,Hospitality,36482,520008000,15041,593646767,15041
Acct-002477,Finance,Asset Management / Hedge Fund,36478,0,0,0,0
Acct-002572,Healthcare,Healthcare - Other,36433,0,0,0,0
Acct-003152,Finance,Finance - Other,36352,0,0,0,0
Acct-001014,Research & Education,Higher Education,36233,2366107394,39000,1937905700,28000
Acct-000629,Healthcare,Healthcare,36192,0,0,0,0
Acct-002379,Energy & Manufacturing,Oil & Gas,36056,2070717790,1300,2070717790,1300
Acct-000778,Media & Content,AdTech,36022,14123011600,74000,13953916800,74900
