CPQID,AccountID,CreatedDate,ProductGroup,X36MRCList,X36NRRList,X36NPVList,BuildingID,Market,StreetAddress,City,State,PostalCode,NetworkProximity,OnZayoNetworkStatus,,
CPQ-000054,Acct-000034,10/5/16,Ethernet,1400,461,9943,Bldg-494088,Dallas,14643 Dallas Pkwy,Dallas,TX,75254,227.74,Not on Zayo Network,,
CPQ-000055,Acct-000033,10/5/16,IP Services,2057,922,56621,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000056,Acct-000034,10/5/16,Ethernet,373,461,5825,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000057,Acct-000033,10/5/16,IP Services,550,922,11143,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000058,Acct-000033,10/5/16,IP Services,2057,922,52680,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000059,Acct-000033,10/5/16,IP Services,2178,922,59955,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network,,
CPQ-000060,Acct-000035,10/5/16,Ethernet,0,0,0,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000061,Acct-000033,10/5/16,IP Services,582,922,15974,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network,,
CPQ-000062,Acct-000035,10/5/16,Ethernet,0,0,0,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,
CPQ-000063,Acct-000034,10/5/16,Ethernet,512,461,8770,Bldg-038126,Atlanta,200 Galleria Pkwy SE,Atlanta,GA,30339,428.12,On Zayo Network,,
CPQ-000064,Acct-000028,10/5/16,IP Services,2257,9220,134088,Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network,,
CPQ-000065,Acct-000035,10/5/16,Ethernet,1513,922,38032,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000066,Acct-000034,10/5/16,Ethernet,3008,922,67038,Bldg-015325,Denver,4100 E Dry Creek Rd,Littleton,CO,80122,45.4,On Zayo Network,,
CPQ-000066,Acct-000034,10/5/16,Ethernet,3008,922,67038,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,,
CPQ-000067,Acct-000028,10/5/16,IP Services,2257,9220,133604,Bldg-132675,Dallas,1515 Round Table Dr,Dallas,TX,75247,251.05,On Zayo Network,,
CPQ-000068,Acct-000036,10/5/16,Wavelengths - Long Haul,2072,2766,37652,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000069,Acct-000037,10/5/16,IP Services,2469,922,63116,Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network,,
CPQ-000070,Acct-000038,10/5/16,Wavelengths - Metro,706,2766,16061,Bldg-054725,Atlanta,1060 Techwood Dr NW,Atlanta,GA,30318,1340.72,On Zayo Network,,
CPQ-000070,Acct-000038,10/5/16,Wavelengths - Metro,706,2766,16061,Bldg-038071,Atlanta,1100 White St SW,Atlanta,GA,30310,297.34,On Zayo Network,,
CPQ-000071,Acct-000037,10/5/16,IP Services,659,922,13271,Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network,,
CPQ-000072,Acct-000019,10/5/16,Ethernet,0,0,0,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,
CPQ-000073,Acct-000014,10/5/16,Wavelengths - Long Haul,10935,2766,0,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000074,Acct-000039,10/5/16,Ethernet,488,461,11923,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network,,
CPQ-000075,Acct-000040,10/5/16,IP Services,2935,922,64050,Bldg-038191,Atlanta,3350 Riverwood Pkwy,Atlanta,GA,30339,227.65,On Zayo Network,,
CPQ-000076,Acct-000041,10/5/16,Wavelengths - Long Haul,2814,2858,0,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,,
CPQ-000077,Acct-000042,10/5/16,Wavelengths - Long Haul,2930,2997,0,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network,,
CPQ-000078,Acct-000009,10/5/16,Ethernet,369,0,3341,Bldg-114878,Dallas,100 Crescent Ct,Dallas,TX,75201,472.74,On Zayo Network,,
CPQ-000079,Acct-000043,10/5/16,Wavelengths - Long Haul,2837,2766,0,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000079,Acct-000043,10/5/16,Wavelengths - Long Haul,2837,2766,0,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network,,
CPQ-000080,Acct-000034,10/5/16,Wavelengths - Long Haul,2313,2766,0,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000081,Acct-000043,10/5/16,Ethernet,2788,0,53496,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000081,Acct-000043,10/5/16,Ethernet,2788,0,53496,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network,,
CPQ-000082,Acct-000044,10/5/16,IP Services,2614,922,46728,Bldg-084698,Denver,335 Inverness Dr S,Englewood,CO,80112,308.86,On Zayo Network,,
CPQ-000083,Acct-000045,10/5/16,Ethernet,1155,922,21438,Bldg-127085,Dallas,2501 S TX-121 - Bldg 5,Lewisville,TX,75067,890.51,On Zayo Network,,
CPQ-000084,Acct-000046,10/5/16,IP Services,733,922,15290,Bldg-109814,Dallas,8600 Harry Hines Blvd,Dallas,TX,75235,249.75,On Zayo Network,,
CPQ-000085,Acct-000036,10/5/16,Wavelengths - Long Haul,1979,2766,37738,Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,On Zayo Network,,
CPQ-000086,Acct-000047,10/5/16,Ethernet,3376,922,82009,Bldg-015325,Denver,4100 E Dry Creek Rd,Littleton,CO,80122,45.4,On Zayo Network,,
CPQ-000086,Acct-000047,10/5/16,Ethernet,3376,922,82009,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,,
CPQ-000087,Acct-000047,10/5/16,Wavelengths - Metro,1496,2858,25951,Bldg-015325,Denver,4100 E Dry Creek Rd,Littleton,CO,80122,45.4,On Zayo Network,,
CPQ-000087,Acct-000047,10/5/16,Wavelengths - Metro,1496,2858,25951,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,,
CPQ-000088,Acct-000048,10/6/16,IP Services,3103,13830,173103,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network,,
CPQ-000089,Acct-000049,10/6/16,Ethernet,1023,1153,18554,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network,,
CPQ-000090,Acct-000050,10/6/16,IP Services,12527,4610,338893,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network,,
CPQ-000091,Acct-000051,10/6/16,IP Services,776,922,6772,Bldg-133709,Denver,8636 S Peoria St,Englewood,CO,80112,89.57,On Zayo Network,,
CPQ-000092,Acct-000051,10/6/16,IP Services,2904,922,56801,Bldg-133709,Denver,8636 S Peoria St,Englewood,CO,80112,89.57,On Zayo Network,,
CPQ-000093,Acct-000034,10/6/16,Ethernet,1321,922,28805,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000094,Acct-000052,10/6/16,IP Services,6891,4610,115491,Bldg-366026,Dallas,901 W Yellow Jacket Ln,Rockwall,TX,75087,1027,Not on Zayo Network,,
CPQ-000095,Acct-000034,10/6/16,Ethernet,2861,0,52902,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000095,Acct-000034,10/6/16,Ethernet,2861,0,52902,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,
CPQ-000096,Acct-000013,10/6/16,Ethernet,512,461,8770,Bldg-038241,Atlanta,5555 Windward Pkwy,Alpharetta,GA,30004,313.64,On Zayo Network,,
CPQ-000097,Acct-000053,10/6/16,Wavelengths - Metro,5464,1383,49509,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,
CPQ-000097,Acct-000053,10/6/16,Wavelengths - Metro,5464,1383,49509,Bldg-109817,Dallas,220 E Las Colinas Blvd,Irving,TX,75039,476.55,Not on Zayo Network,,
CPQ-000098,Acct-000034,10/6/16,Ethernet,2751,0,48953,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,
CPQ-000099,Acct-000054,10/6/16,zColo,0,0,0,Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network,,
CPQ-000100,Acct-000054,10/6/16,IP Services,2110,922,44655,Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network,,
CPQ-000101,Acct-000054,10/6/16,Ethernet,1419,922,22581,Bldg-120678,Dallas,6606 Lyndon B Johnson Fwy,Dallas,TX,75240,601.38,On Zayo Network,,
CPQ-000101,Acct-000054,10/6/16,Ethernet,1419,922,22581,Bldg-116452,Dallas,3811 Turtle Creek Blvd,Dallas,TX,75219,605.15,On Zayo Network,,
CPQ-000102,Acct-000052,10/6/16,IP Services,13049,4610,260224,Bldg-366026,Dallas,901 W Yellow Jacket Ln,Rockwall,TX,75087,1027,Not on Zayo Network,,
CPQ-000103,Acct-000055,10/6/16,Wavelengths - Long Haul,4734,2877,0,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000104,Acct-000056,10/6/16,Wavelengths - Long Haul,11507,2766,0,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,
CPQ-000105,Acct-000042,10/6/16,Wavelengths - Long Haul,2930,2997,0,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network,,
CPQ-000106,Acct-000039,10/6/16,Ethernet,1720,461,12114,Bldg-461158,Denver,7604 Technology Way,Denver,CO,80237,757.47,Build in Progress,,
CPQ-000107,Acct-000057,10/6/16,Ethernet,3152,922,21302,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000108,Acct-000058,10/6/16,Ethernet,1016,922,22111,Bldg-122290,Dallas,4121 International Pkwy,Carrollton,TX,75007,1250,On Zayo Network,,
CPQ-000109,Acct-000039,10/6/16,Ethernet,824,461,16342,Bldg-115602,Atlanta,3000 Northwoods Pkwy NW,Norcross,GA,30071,276.86,On Zayo Network,,
CPQ-000110,Acct-000009,10/6/16,Ethernet,5935,0,40241,Bldg-081139,Denver,3600 S Beeler St,Denver,CO,80237,780.09,On Zayo Network,,
CPQ-000111,Acct-000059,10/6/16,Ethernet,1513,922,15554,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000112,Acct-000059,10/6/16,IP Services,729,922,16099,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000113,Acct-000009,10/6/16,Ethernet,1115,922,20931,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,,
CPQ-000113,Acct-000009,10/6/16,Ethernet,1115,922,20931,Bldg-060322,Atlanta,6120 Powers Ferry Rd,Atlanta,GA,30339,299.34,On Zayo Network,,
CPQ-000114,Acct-000059,10/6/16,Ethernet,1155,922,21981,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000114,Acct-000059,10/6/16,Ethernet,1155,922,21981,Bldg-109234,Denver,555 17th St,Denver,CO,80202,97.89,On Zayo Network,,
CPQ-000115,Acct-000059,10/6/16,Ethernet,1813,1383,37749,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,,
CPQ-000116,Acct-000009,10/6/16,Ethernet,5931,0,40215,Bldg-081139,Denver,3600 S Beeler St,Denver,CO,80237,780.09,On Zayo Network,,
CPQ-000117,Acct-000053,10/7/16,Dark Fiber - Metro,958,4610,20126,Bldg-018754,Atlanta,180 Peachtree St NW,Atlanta,GA,30303,1055.22,On Zayo Network,,
CPQ-000117,Acct-000053,10/7/16,Dark Fiber - Metro,958,4610,20126,Bldg-027193,Atlanta,55 Marietta St NW,Atlanta,GA,30303,110.85,On Zayo Network,,
CPQ-000118,Acct-000060,10/6/16,Ethernet,1130,922,25283,Bldg-122102,Dallas,1221 Coit Rd,Plano,TX,75075,717.43,On Zayo Network,,
CPQ-000118,Acct-000060,10/6/16,Ethernet,1130,922,25283,Bldg-127087,Dallas,2501 S State Hwy 121 - Bldg 8,Lewisville,TX,75067,1476.12,On Zayo Network,,
CPQ-000119,Acct-000053,10/7/16,Dark Fiber - Metro,1500,4610,35177,Bldg-018754,Atlanta,180 Peachtree St NW,Atlanta,GA,30303,1055.22,On Zayo Network,,
CPQ-000119,Acct-000053,10/7/16,Dark Fiber - Metro,1500,4610,35177,Bldg-027193,Atlanta,55 Marietta St NW,Atlanta,GA,30303,110.85,On Zayo Network,,
CPQ-000120,Acct-000061,10/6/16,Ethernet,1327,922,30698,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,,
CPQ-000120,Acct-000061,10/6/16,Ethernet,1327,922,30698,Bldg-080175,Denver,9197 S Peoria St,Englewood,CO,80112,1132.82,On Zayo Network,,
CPQ-000121,Acct-000061,10/6/16,Ethernet,1327,922,30698,Bldg-080175,Denver,9197 S Peoria St,Englewood,CO,80112,1132.82,On Zayo Network,,
CPQ-000121,Acct-000061,10/6/16,Ethernet,1327,922,30698,Bldg-112465,Denver,10475 E 112th Ave,Henderson,CO,80640,6418.06,On Zayo Network,,
CPQ-000122,Acct-000061,10/6/16,Ethernet,1771,922,38992,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,,
CPQ-000123,Acct-000062,10/6/16,Ethernet,1677,922,40342,Bldg-014142,Denver,1500 Champa St,Denver,CO,80202,71.8,On Zayo Network,,
CPQ-000123,Acct-000062,10/6/16,Ethernet,1677,922,40342,Bldg-136936,Dallas,850 E Collins Blvd,Richardson,TX,75081,191.28,On Zayo Network,,
CPQ-000124,Acct-000062,10/6/16,Ethernet,3950,0,84628,Bldg-014142,Denver,1500 Champa St,Denver,CO,80202,71.8,On Zayo Network,,
CPQ-000124,Acct-000062,10/6/16,Ethernet,3950,0,84628,Bldg-136936,Dallas,850 E Collins Blvd,Richardson,TX,75081,191.28,On Zayo Network,,
CPQ-000125,Acct-000018,10/6/16,Ethernet,3842,922,23122,Bldg-409262,Dallas,1900 N Akard St,Dallas,TX,75201,805.08,Not on Zayo Network,,
CPQ-000126,Acct-000063,10/6/16,IP Services,2025,922,16966,Bldg-494165,Atlanta,1226 Ponce De Leon Ave NE,Atlanta,GA,30306,166.26,Not on Zayo Network,,
CPQ-000127,Acct-000064,10/6/16,Ethernet,1559,922,37988,Bldg-058803,Denver,11900 E Cornell Ave,Aurora,CO,80014,447.82,On Zayo Network,,
CPQ-000128,Acct-000053,10/6/16,Wavelengths - Metro,2098,2766,37312,Bldg-038120,Atlanta,190 Marietta St NW,Atlanta,GA,30303,170.13,On Zayo Network,,
CPQ-000128,Acct-000053,10/6/16,Wavelengths - Metro,2098,2766,37312,Bldg-038101,Atlanta,1500 Southpoint Dr,Forest Park,GA,30297,178.15,On Zayo Network,,
CPQ-000129,Acct-000013,10/6/16,Ethernet,564,461,9160,Bldg-058749,Atlanta,3390 Peachtree Rd NE,Atlanta,GA,30326,91.46,On Zayo Network,,
